smiles,identifier,price,supplier_risk,chemistry_risk,mw,logp,hbd,hba,heavy_atoms,num_rings,num_aromatic_rings,num_fused_rings,tpsa,rotatable_bonds,frag_5QRF_F9000532,frag_5QRG_XS115742,frag_5QRH_FM001763,frag_5QRI_F9000380,frag_5QRJ_F9000536,frag_5QRK_FM010104,frag_5QRL_F9000949,frag_5QRN_F9000950,frag_5QRO_F9000403,frag_5QRP_F9000414,frag_5QRQ_FM002138,frag_5QRS_F9000441,frag_5QRT_FM010020,frag_5QRV_FM002272,frag_5QRX_F9000951,frag_5QRY_FM010072,frag_5QRZ_F9000591,frag_5QS2_FM001886,frag_5QS3_FM002333,frag_5QS4_UB000200,frag_5QS5_FM002032,frag_5QS9_FM002076,frag_5QSD_FM002038,frag_5QS0_FM010026,frag_5QSA_FM001580,frag_5QSI_FM001452,frag_5QSK_FM002150,frag_5QS6_FM010013,frag_5QS8_F9000511,frag_5QSB_XS022802,frag_5QSE_F9000674,frag_5QSF_DA000167,frag_5QSG_F9000710,frag_5QT0_XS092188,frag_5QSH_F9000416,frag_5QSJ_FM002214,frag_5QSC_F9000560,matched_sites,n_fragment_hits,frag_5QRF_NUA,frag_5QRG_JHP,frag_5QRH_JMM,frag_5QRI_NUY,frag_5QRJ_NWP,frag_5QRK_NWV,frag_5QRL_NWY,frag_5QRN_NX7,frag_5QRO_NXJ,frag_5QRP_NXM,frag_5QRQ_NXS,frag_5QRR_NY1,frag_5QRS_NY4,frag_5QRT_GWA,frag_5QRU_NY7,frag_5QRV_K2M,frag_5QRW_NYV,frag_5QRX_NZG,frag_5QRY_NZD,frag_5QRZ_NZ7,frag_5QS0_NZ4,frag_5QS1_NZ1,frag_5QS2_LV4,frag_5QS3_LJA,frag_5QS4_JFP,frag_5QS5_NZJ,frag_5QS6_K0G,frag_5QS8_O0G,frag_5QS9_O0J,frag_5QSA_K2P,frag_5QSB_O0M,frag_5QSC_O0P,frag_5QSD_O0S,frag_5QSE_O0V,frag_5QSF_O0Y,frag_5QSG_O1A,frag_5QSH_NVY,frag_5QSI_O1D,frag_5QSJ_O1M,frag_5QSK_O1J,frag_5QSL_O2A,frag_5QT0_JHJ,frag_7ZK2_IU4,frag_8A7N_L9E
CN(C)C(C(=O)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1)c1ccccc1F,ABHLMRXFGUYOBV-UHFFFAOYSA-N,295,1,low,424.50100000000003,4.075300000000002,2,5,30,4,3,2,74.33,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"A, A'",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)(Cc1ccccc1)C(=O)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1,AETZFARLOAJAIQ-UHFFFAOYSA-N,295,0,low,405.52300000000014,4.902200000000004,2,4,29,4,3,2,71.09,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"A, A'",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(CCc1ccccc1Br)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1,AFHDJGPDWSNJKH-UHFFFAOYSA-N,885,0,high,456.36500000000024,5.028600000000003,2,4,28,4,3,2,71.09,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"A, A'",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN(C)Cc1ccccc1CC(=O)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1,AGWLCUIKCBIUKN-UHFFFAOYSA-N,1620,1,high,420.5380000000001,3.9376000000000024,2,5,30,4,3,2,74.33,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"A, A'",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(CCc1ccccc1I)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1,AKKODLBHLWMLEW-UHFFFAOYSA-N,590,0,medium,503.36500000000024,4.870700000000003,2,4,28,4,3,2,71.09,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"A, A'",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)(CC(=O)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1)c1ccccc1,ANGTVGDBCRKWNY-UHFFFAOYSA-N,885,0,high,405.523,5.001200000000003,2,4,29,4,3,2,71.09,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"A, A'",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(CCc1ccccc1O)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1,ANHOFKJATQHQKE-UHFFFAOYSA-N,885,0,high,393.46800000000013,3.971700000000002,3,5,28,4,3,2,91.32,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"A, A'",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(CCS(=O)(=O)c1ccccc1)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1,AOAILTHLEUSSHY-UHFFFAOYSA-N,885,0,high,441.5340000000002,3.497300000000001,2,6,30,4,3,2,105.22999999999999,6,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"A, A'",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(CC(O)c1ccccc1Br)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1,APCZNCOJZDDHST-UHFFFAOYSA-N,1620,0,high,472.3640000000002,4.519500000000002,3,5,29,4,3,2,91.32,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"A, A'",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ccccc1C(C(=O)Nc1nc(-c2ccc3c(c2)CCC(=O)N3)cs1)N(C)C,APNXRIWCWXDNHF-UHFFFAOYSA-N,590,1,medium,420.5380000000002,4.244620000000003,2,5,30,4,3,2,74.33,5,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"A, A'",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
